County,county_cleaned,county_state,State,Type Number,FIPS,Type Number2,category,Key,New Names
Autauga AL,Autauga County,Autauga County AL,AL,1,1001,1,Exurbs,1,Exurbs
Elmore AL,Elmore County,Elmore County AL,AL,1,1051,1,Exurbs,2,Graying America
Limestone AL,Limestone County,Limestone County AL,AL,1,1083,1,Exurbs,3,African American South
St. Clair AL,St. Clair County,St. Clair County AL,AL,1,1115,1,Exurbs,4,Evangelical Hubs
Shelby AL,Shelby County,Shelby County AL,AL,1,1117,1,Exurbs,5,Working Class Country
Benton AR,Benton County,Benton County AR,AR,1,5007,1,Exurbs,6,Military Posts
Lonoke AR,Lonoke County,Lonoke County AR,AR,1,5085,1,Exurbs,7,Urban Suburbs
Saline AR,Saline County,Saline County AR,AR,1,5125,1,Exurbs,8,Hispanic Centers
El Dorado CA,El Dorado County,El Dorado County CA,CA,1,6017,1,Exurbs,9,Native American Lands
Nevada CA,Nevada County,Nevada County CA,CA,1,6057,1,Exurbs,10,Rural Middle America
Placer CA,Placer County,Placer County CA,CA,1,6061,1,Exurbs,11,College Towns
Yuba CA,Yuba County,Yuba County CA,CA,1,6115,1,Exurbs,12,LDS Enclaves
Adams CO,Adams County,Adams County CO,CO,1,8001,1,Exurbs,13,Aging Farmlands
Douglas CO,Douglas County,Douglas County CO,CO,1,8035,1,Exurbs,14,Big Cities
Elbert CO,Elbert County,Elbert County CO,CO,1,8039,1,Exurbs,15,Middle Suburbs
Garfield CO,Garfield County,Garfield County CO,CO,1,8045,1,Exurbs,,
Jefferson CO,Jefferson County,Jefferson County CO,CO,1,8059,1,Exurbs,,
Mesa CO,Mesa County,Mesa County CO,CO,1,8077,1,Exurbs,,
Weld CO,Weld County,Weld County CO,CO,1,8123,1,Exurbs,,
Litchfield CT,Litchfield County,Litchfield County CT,CT,1,9005,1,Exurbs,,
Middlesex CT,Middlesex County,Middlesex County CT,CT,1,9007,1,Exurbs,,
Clay FL,Clay County,Clay County FL,FL,1,12019,1,Exurbs,,
Nassau FL,Nassau County,Nassau County FL,FL,1,12089,1,Exurbs,,
St. Johns FL,St. Johns County,St. Johns County FL,FL,1,12109,1,Exurbs,,
Santa Rosa FL,Santa Rosa County,Santa Rosa County FL,FL,1,12113,1,Exurbs,,
Wakulla FL,Wakulla County,Wakulla County FL,FL,1,12129,1,Exurbs,,
Barrow GA,Barrow County,Barrow County GA,GA,1,13013,1,Exurbs,,
Bartow GA,Bartow County,Bartow County GA,GA,1,13015,1,Exurbs,,
Catoosa GA,Catoosa County,Catoosa County GA,GA,1,13047,1,Exurbs,,
Cherokee GA,Cherokee County,Cherokee County GA,GA,1,13057,1,Exurbs,,
Coweta GA,Coweta County,Coweta County GA,GA,1,13077,1,Exurbs,,
Dawson GA,Dawson County,Dawson County GA,GA,1,13085,1,Exurbs,,
Douglas GA,Douglas County,Douglas County GA,GA,1,13097,1,Exurbs,,
Effingham GA,Effingham County,Effingham County GA,GA,1,13103,1,Exurbs,,
Fayette GA,Fayette County,Fayette County GA,GA,1,13113,1,Exurbs,,
Forsyth GA,Forsyth County,Forsyth County GA,GA,1,13117,1,Exurbs,,
Harris GA,Harris County,Harris County GA,GA,1,13145,1,Exurbs,,
Henry GA,Henry County,Henry County GA,GA,1,13151,1,Exurbs,,
Jackson GA,Jackson County,Jackson County GA,GA,1,13157,1,Exurbs,,
Lee GA,Lee County,Lee County GA,GA,1,13177,1,Exurbs,,
Lumpkin GA,Lumpkin County,Lumpkin County GA,GA,1,13187,1,Exurbs,,
Newton GA,Newton County,Newton County GA,GA,1,13217,1,Exurbs,,
Oconee GA,Oconee County,Oconee County GA,GA,1,13219,1,Exurbs,,
Paulding GA,Paulding County,Paulding County GA,GA,1,13223,1,Exurbs,,
Pickens GA,Pickens County,Pickens County GA,GA,1,13227,1,Exurbs,,
Pike GA,Pike County,Pike County GA,GA,1,13231,1,Exurbs,,
Rockdale GA,Rockdale County,Rockdale County GA,GA,1,13247,1,Exurbs,,
Walton GA,Walton County,Walton County GA,GA,1,13297,1,Exurbs,,
Ada ID,Ada County,Ada County ID,ID,1,16001,1,Exurbs,,
Canyon ID,Canyon County,Canyon County ID,ID,1,16027,1,Exurbs,,
Gem ID,Gem County,Gem County ID,ID,1,16045,1,Exurbs,,
Kootenai ID,Kootenai County,Kootenai County ID,ID,1,16055,1,Exurbs,,
Payette ID,Payette County,Payette County ID,ID,1,16075,1,Exurbs,,
Twin Falls ID,Twin Falls County,Twin Falls County ID,ID,1,16083,1,Exurbs,,
Boone IL,Boone County,Boone County IL,IL,1,17007,1,Exurbs,,
Grundy IL,Grundy County,Grundy County IL,IL,1,17063,1,Exurbs,,
Kane IL,Kane County,Kane County IL,IL,1,17089,1,Exurbs,,
Kendall IL,Kendall County,Kendall County IL,IL,1,17093,1,Exurbs,,
Lake IL,Lake County,Lake County IL,IL,1,17097,1,Exurbs,,
McHenry IL,McHenry County,McHenry County IL,IL,1,17111,1,Exurbs,,
Will IL,Will County,Will County IL,IL,1,17197,1,Exurbs,,
Hamilton IN,Hamilton County,Hamilton County IN,IN,1,18057,1,Exurbs,,
Hancock IN,Hancock County,Hancock County IN,IN,1,18059,1,Exurbs,,
Hendricks IN,Hendricks County,Hendricks County IN,IN,1,18063,1,Exurbs,,
Johnson IN,Johnson County,Johnson County IN,IN,1,18081,1,Exurbs,,
Dallas IA,Dallas County,Dallas County IA,IA,1,19049,1,Exurbs,,
Polk IA,Polk County,Polk County IA,IA,1,19153,1,Exurbs,,
Johnson KS,Johnson County,Johnson County KS,KS,1,20091,1,Exurbs,,
Anderson KY,Anderson County,Anderson County KY,KY,1,21005,1,Exurbs,,
Boone KY,Boone County,Boone County KY,KY,1,21015,1,Exurbs,,
Bullitt KY,Bullitt County,Bullitt County KY,KY,1,21029,1,Exurbs,,
Grant KY,Grant County,Grant County KY,KY,1,21081,1,Exurbs,,
Jessamine KY,Jessamine County,Jessamine County KY,KY,1,21113,1,Exurbs,,
Nelson KY,Nelson County,Nelson County KY,KY,1,21179,1,Exurbs,,
Oldham KY,Oldham County,Oldham County KY,KY,1,21185,1,Exurbs,,
Scott KY,Scott County,Scott County KY,KY,1,21209,1,Exurbs,,
Shelby KY,Shelby County,Shelby County KY,KY,1,21211,1,Exurbs,,
Spencer KY,Spencer County,Spencer County KY,KY,1,21215,1,Exurbs,,
Ascension Parish LA,Ascension Parish County,Ascension Parish County LA,LA,1,22005,1,Exurbs,,
Cameron Parish LA,Cameron Parish County,Cameron Parish County LA,LA,1,22023,1,Exurbs,,
Livingston Parish LA,Livingston Parish County,Livingston Parish County LA,LA,1,22063,1,Exurbs,,
Plaquemines Parish LA,Plaquemines Parish County,Plaquemines Parish County LA,LA,1,22075,1,Exurbs,,
St. Tammany Parish LA,St. Tammany Parish County,St. Tammany Parish County LA,LA,1,22103,1,Exurbs,,
Anne Arundel MD,Anne Arundel County,Anne Arundel County MD,MD,1,24003,1,Exurbs,,
Caroline MD,Caroline County,Caroline County MD,MD,1,24011,1,Exurbs,,
Carroll MD,Carroll County,Carroll County MD,MD,1,24013,1,Exurbs,,
Cecil MD,Cecil County,Cecil County MD,MD,1,24015,1,Exurbs,,
Frederick MD,Frederick County,Frederick County MD,MD,1,24021,1,Exurbs,,
Harford MD,Harford County,Harford County MD,MD,1,24025,1,Exurbs,,
Queen Annes MD,Queen Annes County,Queen Annes County MD,MD,1,24035,1,Exurbs,,
Talbot MD,Talbot County,Talbot County MD,MD,1,24041,1,Exurbs,,
Plymouth MA,Plymouth County,Plymouth County MA,MA,1,25023,1,Exurbs,,
Clinton MI,Clinton County,Clinton County MI,MI,1,26037,1,Exurbs,,
Anoka MN,Anoka County,Anoka County MN,MN,1,27003,1,Exurbs,,
Carver MN,Carver County,Carver County MN,MN,1,27019,1,Exurbs,,
Chisago MN,Chisago County,Chisago County MN,MN,1,27025,1,Exurbs,,
Dakota MN,Dakota County,Dakota County MN,MN,1,27037,1,Exurbs,,
Isanti MN,Isanti County,Isanti County MN,MN,1,27059,1,Exurbs,,
Mille Lacs MN,Mille Lacs County,Mille Lacs County MN,MN,1,27095,1,Exurbs,,
Olmsted MN,Olmsted County,Olmsted County MN,MN,1,27109,1,Exurbs,,
Scott MN,Scott County,Scott County MN,MN,1,27139,1,Exurbs,,
Sherburne MN,Sherburne County,Sherburne County MN,MN,1,27141,1,Exurbs,,
Washington MN,Washington County,Washington County MN,MN,1,27163,1,Exurbs,,
Wright MN,Wright County,Wright County MN,MN,1,27171,1,Exurbs,,
DeSoto MS,DeSoto County,DeSoto County MS,MS,1,28033,1,Exurbs,,
Hancock MS,Hancock County,Hancock County MS,MS,1,28045,1,Exurbs,,
Lamar MS,Lamar County,Lamar County MS,MS,1,28073,1,Exurbs,,
Rankin MS,Rankin County,Rankin County MS,MS,1,28121,1,Exurbs,,
Callaway MO,Callaway County,Callaway County MO,MO,1,29027,1,Exurbs,,
Cass MO,Cass County,Cass County MO,MO,1,29037,1,Exurbs,,
Christian MO,Christian County,Christian County MO,MO,1,29043,1,Exurbs,,
Clay MO,Clay County,Clay County MO,MO,1,29047,1,Exurbs,,
Clinton MO,Clinton County,Clinton County MO,MO,1,29049,1,Exurbs,,
Jefferson MO,Jefferson County,Jefferson County MO,MO,1,29099,1,Exurbs,,
Lincoln MO,Lincoln County,Lincoln County MO,MO,1,29113,1,Exurbs,,
Platte MO,Platte County,Platte County MO,MO,1,29165,1,Exurbs,,
St. Charles MO,St. Charles County,St. Charles County MO,MO,1,29183,1,Exurbs,,
Warren MO,Warren County,Warren County MO,MO,1,29219,1,Exurbs,,
Webster MO,Webster County,Webster County MO,MO,1,29225,1,Exurbs,,
Jefferson MT,Jefferson County,Jefferson County MT,MT,1,30043,1,Exurbs,,
Churchill NV,Churchill County,Churchill County NV,NV,1,32001,1,Exurbs,,
Douglas NV,Douglas County,Douglas County NV,NV,1,32005,1,Exurbs,,
Lyon NV,Lyon County,Lyon County NV,NV,1,32019,1,Exurbs,,
Storey NV,Storey County,Storey County NV,NV,1,32029,1,Exurbs,,
Hillsborough NH,Hillsborough County,Hillsborough County NH,NH,1,33011,1,Exurbs,,
Merrimack NH,Merrimack County,Merrimack County NH,NH,1,33013,1,Exurbs,,
Rockingham NH,Rockingham County,Rockingham County NH,NH,1,33015,1,Exurbs,,
Burlington NJ,Burlington County,Burlington County NJ,NJ,1,34005,1,Exurbs,,
Gloucester NJ,Gloucester County,Gloucester County NJ,NJ,1,34015,1,Exurbs,,
Hunterdon NJ,Hunterdon County,Hunterdon County NJ,NJ,1,34019,1,Exurbs,,
Salem NJ,Salem County,Salem County NJ,NJ,1,34033,1,Exurbs,,
Sussex NJ,Sussex County,Sussex County NJ,NJ,1,34037,1,Exurbs,,
Warren NJ,Warren County,Warren County NJ,NJ,1,34041,1,Exurbs,,
Sandoval NM,Sandoval County,Sandoval County NM,NM,1,35043,1,Exurbs,,
Saratoga NY,Saratoga County,Saratoga County NY,NY,1,36091,1,Exurbs,,
Cabarrus NC,Cabarrus County,Cabarrus County NC,NC,1,37025,1,Exurbs,,
Camden NC,Camden County,Camden County NC,NC,1,37029,1,Exurbs,,
Chatham NC,Chatham County,Chatham County NC,NC,1,37037,1,Exurbs,,
Currituck NC,Currituck County,Currituck County NC,NC,1,37053,1,Exurbs,,
Iredell NC,Iredell County,Iredell County NC,NC,1,37097,1,Exurbs,,
Johnston NC,Johnston County,Johnston County NC,NC,1,37101,1,Exurbs,,
Lincoln NC,Lincoln County,Lincoln County NC,NC,1,37109,1,Exurbs,,
Union NC,Union County,Union County NC,NC,1,37179,1,Exurbs,,
Delaware OH,Delaware County,Delaware County OH,OH,1,39041,1,Exurbs,,
Union OH,Union County,Union County OH,OH,1,39159,1,Exurbs,,
Warren OH,Warren County,Warren County OH,OH,1,39165,1,Exurbs,,
Canadian OK,Canadian County,Canadian County OK,OK,1,40017,1,Exurbs,,
Logan OK,Logan County,Logan County OK,OK,1,40083,1,Exurbs,,
Rogers OK,Rogers County,Rogers County OK,OK,1,40131,1,Exurbs,,
Wagoner OK,Wagoner County,Wagoner County OK,OK,1,40145,1,Exurbs,,
Clackamas OR,Clackamas County,Clackamas County OR,OR,1,41005,1,Exurbs,,
Yamhill OR,Yamhill County,Yamhill County OR,OR,1,41071,1,Exurbs,,
Bucks PA,Bucks County,Bucks County PA,PA,1,42017,1,Exurbs,,
Chester PA,Chester County,Chester County PA,PA,1,42029,1,Exurbs,,
Monroe PA,Monroe County,Monroe County PA,PA,1,42089,1,Exurbs,,
Pike PA,Pike County,Pike County PA,PA,1,42103,1,Exurbs,,
Lexington SC,Lexington County,Lexington County SC,SC,1,45063,1,Exurbs,,
York SC,York County,York County SC,SC,1,45091,1,Exurbs,,
Custer SD,Custer County,Custer County SD,SD,1,46033,1,Exurbs,,
Lincoln SD,Lincoln County,Lincoln County SD,SD,1,46083,1,Exurbs,,
Blount TN,Blount County,Blount County TN,TN,1,47009,1,Exurbs,,
Cheatham TN,Cheatham County,Cheatham County TN,TN,1,47021,1,Exurbs,,
Dickson TN,Dickson County,Dickson County TN,TN,1,47043,1,Exurbs,,
Fayette TN,Fayette County,Fayette County TN,TN,1,47047,1,Exurbs,,
Robertson TN,Robertson County,Robertson County TN,TN,1,47147,1,Exurbs,,
Rutherford TN,Rutherford County,Rutherford County TN,TN,1,47149,1,Exurbs,,
Sumner TN,Sumner County,Sumner County TN,TN,1,47165,1,Exurbs,,
Tipton TN,Tipton County,Tipton County TN,TN,1,47167,1,Exurbs,,
Williamson TN,Williamson County,Williamson County TN,TN,1,47187,1,Exurbs,,
Wilson TN,Wilson County,Wilson County TN,TN,1,47189,1,Exurbs,,
Bastrop TX,Bastrop County,Bastrop County TX,TX,1,48021,1,Exurbs,,
Brazoria TX,Brazoria County,Brazoria County TX,TX,1,48039,1,Exurbs,,
Chambers TX,Chambers County,Chambers County TX,TX,1,48071,1,Exurbs,,
Collin TX,Collin County,Collin County TX,TX,1,48085,1,Exurbs,,
Comal TX,Comal County,Comal County TX,TX,1,48091,1,Exurbs,,
Denton TX,Denton County,Denton County TX,TX,1,48121,1,Exurbs,,
Ellis TX,Ellis County,Ellis County TX,TX,1,48139,1,Exurbs,,
Fort Bend TX,Fort Bend County,Fort Bend County TX,TX,1,48157,1,Exurbs,,
Galveston TX,Galveston County,Galveston County TX,TX,1,48167,1,Exurbs,,
Guadalupe TX,Guadalupe County,Guadalupe County TX,TX,1,48187,1,Exurbs,,
Hays TX,Hays County,Hays County TX,TX,1,48209,1,Exurbs,,
