Community,Access to Exercise Opportunities,Air Pollution - Particulate Matter,Child Care Centers,Driving Alone to Work,Food Environment Index,Food Insecurity,Limited Access to Healthy Foods,Long Commute - Driving Alone,Traffic Volume,% 65 and Older,% American Indian or Alaska Native,% Asian,% Below 18 Years of Age,% Female,% Hispanic,% Native Hawaiian or Other Pacific Islander,% Non-Hispanic Black,% Non-Hispanic White,% Not Proficient in English,% Rural,Bachelor's degree,Census Participation,High School Completion,High School Graduation,Math Scores,Population Medians,Reading Scores,School Funding Adequacy,School Segregation,Total Population,Adult Obesity,Adult Smoking,Alcohol-Impaired Driving Deaths,Child Mortality,Dentists,Diabetes Prevalence,Drug Overdose Deaths,Excessive Drinking,Firearm Fatalities,Flu Vaccinations,Frequent Mental Distress,Frequent Physical Distress,HIV Prevalence,Homicides,Infant Mortality,Injury Deaths,Insufficient Sleep,Life Expectancy,Low Birthweight,Mammography Screening,Mental Health Providers,Motor Vehicle Crash Deaths,Physical Inactivity,Poor Mental Health Days,Poor or Fair Health,Poor Physical Health Days,Premature Age-Adjusted Mortality,Premature Death,Preventable Hospital Stays,Primary Care Physicians,Sexually Transmitted Infections,Suicides,Teen Births,Uninsured Adults,Uninsured Children,Uninsured,Broadband Access,2000 (D) Al Gore,2000 (R) George W. Bush,2004 (D) John Kerry,2004 (R) George W. Bush,2008 (D) Barack Obama,2008 (R) John McCain,2012 (D) Barack Obama,2012 (R) Mitt Romney,2016 (D) Hillary Clinton,2016 (R) Donald Trump,2020 (D) Joe Biden,2020 (R) Donald Trump,Voter Turnout,Child Care Cost Burden,Children Eligible for Free or Reduced Price Lunch,Children in Poverty,Children in Single-Parent Households,Disconnected Youth,Gender Pay Gap,Homeownership,Income Inequality,Juvenile Arrests,Living Wage,Median Household Income,Residential Segregation - Black/White,Severe Housing Cost Burden,Severe Housing Problems,Social Associations,Unemployment
African American South,0.5075,8.9,8,0.8356,6.5,0.163,0.1003,0.361,49,0.1894,0.0051,0.007,0.2233,0.5157,0.0337,0.0006,0.43,0.4874,0.0001,0.6267,0.238,0.52,0.8258,0.875,2.6,20635,2.7,-7409,0.08,13137223,0.419,0.23,0.2609,85.62,"2,912.29:1",0.14,23,0.151,23,0.42,0.171,0.13,418,14,9.67,96.7,0.3955,73.28,0.1201,0.36,961.29:1,26,0.325,5.09,0.2185,4.08,582.17,12098.21,3723,"2,645.7:1",745.4,14,36.39,0.1714,0.0524,0.1371,0.7241,0.51,0.47,0.5,0.49,0.55,0.44,0.56,0.43,0.5283,0.4412,0.5436,0.4425,0.61,0.2843,0.9301,0.332,0.4209,0.1259,0.79,0.6793,5.39,32,$38.75,42212,35.7,0.1376,0.1527,11.31,0.0569
Aging Farmlands,0.456,5.4,7.7,0.757,7.8,0.096,0.001,0.246,20,0.2426,0.0125,0.0052,0.2256,0.4928,0.0411,0.0003,0.01,0.9118,0.0033,1,0.212,0.545,0.9208,0.9071,3.1,3401,3.1,2293.5,0.05,1130818,0.3565,0.186,0.25,,"2,387.67:1",0.0885,,0.2248,27,0.36,0.139,0.0925,0,,,97.95,0.3075,78.26,0.0663,0.39,"1,808.8:1",28,0.231,4.1,0.122,2.92,364.3,7453.12,2586,"1,956:1",181.3,28,20.72,0.122,0.0799,0.1091,0.8022,0.28,0.68,0.29,0.7,0.32,0.66,0.27,0.71,0.1777,0.7648,0.1894,0.7922,0.7161,0.2588,0.4199,0.1595,0.1514,,0.74,0.7808,4.13,11,$40.31,56623,42.3,0.0766,0.0863,16.58,0.0278
Big Cities,0.9779,9,7.1,0.7124,7.75,0.1225,0.0424,0.3775,1130,0.1481,0.0103,0.0626,0.2176,0.5092,0.1746,0.0014,0.16,0.4566,0.0466,0.0108,0.385,0.658,0.8909,0.8188,2.8,1199796,2.9,-1823.4,0.21,81208168,0.3055,0.15,0.2579,50.29,"1,173.58:1",0.103,22,0.186,14,0.51,0.145,0.096,492.3,7,5.83,72.45,0.34,78.61,0.0847,0.35,272.63:1,9,0.228,4.67,0.1425,3.11,344.4,7000.52,2787,"1,108.29:1",680.95,12,21.11,0.1139,0.0419,0.0946,0.8823,0.59,0.37,0.6,0.39,0.65,0.34,0.65,0.34,0.6468,0.2947,0.6642,0.3172,0.6633,0.2814,0.6119,0.19,0.2929,0.0706,0.84,0.5525,4.71,16,$48.21,68209,53.7,0.1604,0.1863,8.83,0.0544
College Towns,0.8315,7.7,8,0.7704,7.6,0.121,0.0781,0.213,285,0.1647,0.0057,0.026,0.1992,0.5066,0.0549,0.0009,0.06,0.7829,0.0098,0.2432,0.379,0.656,0.9213,0.88,3,108051,3.1,1495.8,0.08,24920282,0.346,0.178,0.2727,50.93,"1,414.13:1",0.099,18,0.1886,12,0.53,0.154,0.1,149.1,5,6.08,71.01,0.332,78.18,0.0783,0.4,305.28:1,10,0.227,4.81,0.142,3.25,363.96,7238.07,2682,"1,218.39:1",516.5,15,13.43,0.1055,0.0452,0.0921,0.8592,0.47,0.48,0.49,0.5,0.54,0.44,0.52,0.46,0.4876,0.4406,0.5368,0.4406,0.6247,0.2963,0.4751,0.164,0.2407,0.0486,0.81,0.6216,4.9,25,$42.84,59223,51.1,0.1416,0.1595,11.16,0.0412
Evangelical Hubs,0.477,8.1,7,0.8294,6.9,0.158,0.0598,0.389,39,0.1997,0.0054,0.0052,0.2186,0.5028,0.0287,0.0005,0.03,0.8996,0.0036,0.7789,0.165,0.551,0.8355,0.925,2.9,19816,3,-1301.6,0.05,9859901,0.384,0.244,0.2245,66.4,"3,557:1",0.116,27,0.1664,19,0.42,0.181,0.13,112.4,6,7.64,103.34,0.367,74.1,0.0888,0.32,"1,582.17:1",24,0.298,5.42,0.197,4.16,535.69,10936.68,3553,"3,068.39:1",272.9,21,36.26,0.1553,0.0583,0.1299,0.7593,0.4,0.59,0.35,0.65,0.31,0.68,0.27,0.72,0.1961,0.7709,0.1997,0.787,0.5885,0.2596,0.6299,0.247,0.2505,0.1305,0.76,0.7507,4.72,18,$38.43,47083,47.3,0.0959,0.1206,9.66,0.0442
Exurbs,0.8109,8.2,7,0.791,8.4,0.091,0.0525,0.4185,190,0.1665,0.0064,0.0193,0.2307,0.5015,0.0744,0.0011,0.04,0.7827,0.0001,0.2905,0.358,0.695,0.9241,0.91,3.2,109220,3.2,2472.9,0.06,31248256,0.33,0.162,0.2875,41.19,"1,956.31:1",0.086,18,0.1993,12,0.54,0.1435,0.089,134,3,5.03,72.15,0.3235,79.15,0.0724,0.39,628.14:1,12,0.211,4.6,0.1235,2.96,322.66,6472.71,2536,"1,695.22:1",285.05,16,15.51,0.102,0.0553,0.0894,0.8952,0.4,0.56,0.4,0.59,0.45,0.54,0.42,0.57,0.3846,0.546,0.4369,0.542,0.7447,0.2223,0.3517,0.1075,0.1855,0.0643,0.77,0.7586,3.97,17,$44.78,80286,47.5,0.1023,0.1216,8.66,0.04
Graying America,0.6718,6.2,8.2,0.7646,7.5,0.123,0.0607,0.299,58,0.2597,0.0131,0.0082,0.1773,0.495,0.0522,0.0008,0.01,0.848,0.0001,0.73,0.278,0.49,0.9083,0.8729,3,18557,3,915.9,0.05,16115418,0.3315,0.1885,0.3042,53.11,"1,948.43:1",0.091,23,0.2096,17,0.43,0.154,0.104,114.8,4,5.99,100.52,0.332,78.15,0.075,0.36,532.55:1,17,0.221,4.81,0.14,3.36,377.67,8072.61,2240.5,"1,675.44:1",208.6,22,21.15,0.1241,0.0652,0.1099,0.8205,0.42,0.53,0.43,0.55,0.47,0.51,0.44,0.54,0.37,0.5704,0.4048,0.5779,0.7288,0.294,0.5147,0.192,0.2208,0.0937,0.8,0.7649,4.36,24,$42.41,56998,57.8,0.1132,0.137,10.12,0.048
Hispanic Centers,0.6866,7.1,5.1,0.7915,7,0.135,0.1016,0.2475,123,0.1552,0.0196,0.0098,0.264,0.4906,0.5305,0.0016,0.02,0.3841,0.0728,0.3789,0.203,0.497,0.7792,0.8494,2.8,18383,2.7,-1724.6,0.08,17437124,0.382,0.181,0.2188,51.61,"2,473.8:1",0.127,18,0.1835,14,0.38,0.155,0.122,150.7,7,5.53,78.08,0.349,76.88,0.0795,0.26,"1,263.7:1",19,0.296,4.75,0.202,3.89,433.77,8629.79,2798,"2,503.38:1",392.9,17,37.38,0.2361,0.1161,0.2017,0.7969,0.45,0.52,0.42,0.57,0.5,0.48,0.5,0.48,0.4865,0.4508,0.4979,0.4825,0.5686,0.2795,0.6731,0.2325,0.2564,0.0995,0.77,0.686,4.63,24,$40.24,51608,49.5,0.1065,0.1519,8.01,0.0602
LDS Enclaves,0.6786,4.8,4.5,0.7636,7.9,0.099,0.0828,0.228,111,0.1474,0.0135,0.0087,0.2821,0.4899,0.0969,0.0027,0,0.8485,0.01,0.5151,0.346,0.6,0.9252,0.8943,3.1,21906,3.1,804.7,0.05,3523070,0.308,0.118,0.2424,50.25,"1,687.16:1",0.092,20,0.1284,17,0.46,0.149,0.101,52.8,2,5.22,83.21,0.319,78.76,0.0756,0.34,517.28:1,12,0.187,4.63,0.127,3.28,316.6,6439.19,1575,"2,290.75:1",196.95,25,17.78,0.1273,0.0818,0.1131,0.8749,0.26,0.68,0.25,0.72,0.33,0.64,0.24,0.73,0.2609,0.4698,0.3572,0.5912,0.7234,0.2139,0.3485,0.125,0.1316,0.073,0.68,0.7693,3.79,34,$42.14,63576,70.4,0.0933,0.1184,1.48,0.0288
Middle Suburbs,0.8668,8.3,6.5,0.8179,7.7,0.116,0.0784,0.31,330,0.1852,0.004,0.0145,0.2167,0.5058,0.0501,0.0006,0.06,0.8253,0.0085,0.2075,0.267,0.725,0.9127,0.9036,3,176511,3.1,2935.2,0.14,12176963,0.367,0.193,0.2833,49.41,"1,562.88:1",0.095,31,0.1966,12,0.55,0.161,0.1,148.4,4,6.38,90.32,0.349,77.33,0.0822,0.4,463.2:1,10,0.236,4.9,0.141,3.27,392.31,8216.77,3153,"1,644.5:1",427.7,15,20.81,0.0857,0.0432,0.0752,0.8583,0.49,0.48,0.48,0.51,0.52,0.46,0.5,0.49,0.4084,0.5364,0.437,0.5457,0.6875,0.2975,0.4878,0.168,0.2539,0.0625,0.78,0.7147,4.34,22,$43.44,64593,55.4,0.1064,0.1232,10.16,0.0532
Military Posts,0.7307,7.8,5.8,0.7909,7.5,0.116,0.0964,0.279,177,0.1497,0.0094,0.0236,0.2374,0.4958,0.0836,0.0024,0.14,0.6463,0.0119,0.2475,0.311,0.634,0.9198,0.8937,3,96194,3.1,22.2,0.06,9766781,0.362,0.181,0.2857,53.15,"1,514.6:1",0.103,19,0.1826,16,0.46,0.147,0.101,199.3,6,6.24,76.56,0.351,77.46,0.0795,0.35,464.99:1,14,0.238,4.57,0.144,3.26,396.42,8030.19,2950,"1,614.88:1",514.5,18,25.13,0.1455,0.0594,0.1226,0.8765,0.4,0.57,0.38,0.61,0.44,0.55,0.43,0.56,0.385,0.5499,0.4383,0.538,0.6354,0.2306,0.5035,0.163,0.2527,0.079,0.8,0.6544,4.09,27,$42.19,63593,39.5,0.1181,0.1378,8.49,0.045
National,0.8424,7.4,7,0.7324,7,0.118,0.061,0.365,505,0.1683,0.0132,0.0613,0.2217,0.5047,0.1888,0.0026,0.13,0.5931,0.0004,0.193,0.337,0.652,0.8887,0.87,3,,3.05,1062,0.25,326568864,0.32,0.16,0.2656,48.07,"1,379.92:1",0.09,23,0.19,12,0.51,0.14,0.09,379.7,6,5.67,75.9,0.33,78.53,0.0819,0.37,338.18:1,12,0.22,4.4,0.12,3,358.75,7281.94,2809,"1,309:1",481.3,14,19.3,0.1238,0.054,0.1044,0.87,0.4838,0.4787,0.4826,0.5073,0.5286,0.456,0.5101,0.4715,0.4802,0.4593,0.5126,0.468,0.6791,0.2659,0.5309,0.169,0.2513,0.0685,0.81,0.6463,4.89,24,,69717,63,0.1428,0.1697,9.13,0.0535
Native American Lands,0.417,4.7,3.5,0.7395,5.4,0.169,0.1683,0.201,22,0.1331,0.5946,0.0062,0.3047,0.4969,0.0428,0.0006,0.01,0.2794,0.0033,1,0.163,0.3655,0.8655,0.7803,2.5,8124,2.7,684.9,0.16,914028,0.394,0.281,0.3987,111.72,"1,536.35:1",0.133,24,0.1943,24,0.28,0.165,0.144,106.9,16,10.42,145.38,0.353,71.02,0.0776,0.24,618.65:1,36,0.289,4.86,0.21,4.35,655.26,16604.98,3100,"1,944.86:1",708.35,35,50.98,0.2064,0.0919,0.1658,0.7003,0.49,0.48,0.48,0.51,0.52,0.47,0.51,0.48,0.3688,0.5623,0.3928,0.5879,0.5402,0.3323,0.8901,0.304,0.3496,0.178,0.86,0.6562,5.19,29,$40.8,47266,57.5,0.1025,0.182,5.08,0.0496
Rural Middle America,0.6379,7.9,6.2,0.8121,8.1,0.105,0.0518,0.311,88,0.2013,0.005,0.0067,0.2223,0.497,0.0345,0.0005,0.01,0.9132,0.0047,0.5907,0.223,0.6825,0.9129,0.9137,3.1,28431,3.1,2224.9,0.05,24177102,0.365,0.198,0.2667,51.23,"2,322.53:1",0.092,21,0.2046,12,0.5,0.149,0.099,77.7,4,6.32,83.22,0.332,77.67,0.0701,0.41,864.5:1,15,0.24,4.58,0.1355,3.19,378.71,7612.43,2740,"2,186.97:1",256.65,18,20.38,0.092,0.0513,0.0808,0.8269,0.41,0.56,0.4,0.59,0.44,0.54,0.4,0.58,0.3014,0.6374,0.324,0.6567,0.6752,0.2491,0.444,0.149,0.1921,0.0768,0.77,0.7602,4.05,20,$40.98,61285,59.9,0.0873,0.1054,13.25,0.0392
Urban Suburbs,0.9539,8.4,7.3,0.7432,8.4,0.089,0.0464,0.435,582,0.1594,0.0064,0.0576,0.2228,0.5073,0.1581,0.0012,0.11,0.6024,0.0364,0.0479,0.424,0.709,0.9161,0.8871,3.1,542410,3.2,2126.8,0.14,70195736,0.301,0.137,0.2679,37.12,"1,287.18:1",0.091,21,0.1881,8,0.555,0.137,0.084,279.7,4,5.01,61.52,0.336,80.08,0.0783,0.38,334.18:1,8,0.207,4.4,0.12,2.75,296.69,5971.28,2707.5,"1,167.94:1",372.2,11,11.84,0.0904,0.0376,0.0757,0.9111,0.52,0.44,0.52,0.47,0.57,0.42,0.56,0.43,0.5478,0.3949,0.5875,0.3945,0.7397,0.2632,0.4309,0.1145,0.209,0.0561,0.8,0.6697,4.36,18,$49.16,87692,50.8,0.1346,0.1531,8.14,0.0473
Working Class Country,0.5326,8.55,6.2,0.825,7.1,0.145,0.0748,0.371,61,0.1988,0.0071,0.0063,0.2236,0.503,0.0421,0.0007,0.08,0.7575,0.006,0.6778,0.19,0.5635,0.8611,0.9072,3,23628,3,-1681.2,0.06,10758006,0.388,0.225,0.2619,65.72,"2,986.94:1",0.113,23,0.175,18,0.44,0.173,0.123,156.75,7,7.53,96.05,0.362,75.24,0.0874,0.35,"1,145.33:1",22,0.29,5.19,0.185,3.94,487.58,10060.63,3393,"2,828.9:1",367.4,20,32.15,0.1661,0.0697,0.1373,0.779,0.4,0.58,0.36,0.63,0.36,0.63,0.33,0.65,0.2643,0.6985,0.2736,0.7122,0.6079,0.2673,0.603,0.231,0.2611,0.1109,0.75,0.7453,4.65,22,$39.86,51322,45.63,0.0995,0.1252,11.25,0.0454
