Community,2000 (D) Al Gore,2000 (R) George W. Bush,2004 (D) John Kerry,2004 (R) George W. Bush,2008 (D) Barack Obama,2008 (R) John McCain,2012 (D) Barack Obama,2012 (R) Mitt Romney,2016 (D) Hillary Clinton,2016 (R) Donald Trump,2020 (D) Joe Biden,2020 (R) Donald Trump,Voter Turnout,Democrats,Republican
African American South,0.51,0.47,0.5,0.49,0.55,0.44,0.56,0.43,0.5283,0.4412,0.5436,0.4425,0.61,0.531983333,0.452283333
Aging Farmlands,0.28,0.68,0.29,0.7,0.32,0.66,0.27,0.71,0.1777,0.7648,0.1894,0.7922,0.7161,0.254516667,0.717833333
Big Cities,0.59,0.37,0.6,0.39,0.65,0.34,0.65,0.34,0.6468,0.2947,0.6642,0.3172,0.6633,0.6335,0.341983333
College Towns,0.47,0.48,0.49,0.5,0.54,0.44,0.52,0.46,0.4876,0.4406,0.5368,0.4406,0.6247,0.5074,0.4602
Evangelical Hubs,0.4,0.59,0.35,0.65,0.31,0.68,0.27,0.72,0.1961,0.7709,0.1997,0.787,0.5885,0.287633333,0.69965
Exurbs,0.4,0.56,0.4,0.59,0.45,0.54,0.42,0.57,0.3846,0.546,0.4369,0.542,0.7447,0.41525,0.558
Graying America,0.42,0.53,0.43,0.55,0.47,0.51,0.44,0.54,0.37,0.5704,0.4048,0.5779,0.7288,0.422466667,0.546383333
Hispanic Centers,0.45,0.52,0.42,0.57,0.5,0.48,0.5,0.48,0.4865,0.4508,0.4979,0.4825,0.5686,0.475733333,0.497216667
LDS Enclaves,0.26,0.68,0.25,0.72,0.33,0.64,0.24,0.73,0.2609,0.4698,0.3572,0.5912,0.7234,0.283016667,0.6385
Middle Suburbs,0.49,0.48,0.48,0.51,0.52,0.46,0.5,0.49,0.4084,0.5364,0.437,0.5457,0.6875,0.472566667,0.503683333
Military Posts,0.4,0.57,0.38,0.61,0.44,0.55,0.43,0.56,0.385,0.5499,0.4383,0.538,0.6354,0.412216667,0.562983333
National,0.4838,0.4787,0.4826,0.5073,0.5286,0.456,0.5101,0.4715,0.4802,0.4593,0.5126,0.468,0.6791,0.49965,0.473466667
Native American Lands,0.49,0.48,0.48,0.51,0.52,0.47,0.51,0.48,0.3688,0.5623,0.3928,0.5879,0.5402,0.460266667,0.515033333
Rural Middle America,0.41,0.56,0.4,0.59,0.44,0.54,0.4,0.58,0.3014,0.6374,0.324,0.6567,0.6752,0.379233333,0.594016667
Urban Suburbs,0.52,0.44,0.52,0.47,0.57,0.42,0.56,0.43,0.5478,0.3949,0.5875,0.3945,0.7397,0.550883333,0.4249
Working Class Country,0.4,0.58,0.36,0.63,0.36,0.63,0.33,0.65,0.2643,0.6985,0.2736,0.7122,0.6079,0.331316667,0.650116667
