FIPS,category,total_tweets
1001,Exurbs,688950
1051,Exurbs,688950
1083,Exurbs,688950
1115,Exurbs,688950
1117,Exurbs,688950
5007,Exurbs,688950
5085,Exurbs,688950
5125,Exurbs,688950
6017,Exurbs,688950
6057,Exurbs,688950
6061,Exurbs,688950
6115,Exurbs,688950
8001,Exurbs,688950
8035,Exurbs,688950
8039,Exurbs,688950
8045,Exurbs,688950
8059,Exurbs,688950
8077,Exurbs,688950
8123,Exurbs,688950
9005,Exurbs,688950
9007,Exurbs,688950
12019,Exurbs,688950
12089,Exurbs,688950
12109,Exurbs,688950
12113,Exurbs,688950
12129,Exurbs,688950
13013,Exurbs,688950
13015,Exurbs,688950
13047,Exurbs,688950
13057,Exurbs,688950
13077,Exurbs,688950
13085,Exurbs,688950
13097,Exurbs,688950
13103,Exurbs,688950
13113,Exurbs,688950
13117,Exurbs,688950
13145,Exurbs,688950
13151,Exurbs,688950
13157,Exurbs,688950
13177,Exurbs,688950
13187,Exurbs,688950
13217,Exurbs,688950
13219,Exurbs,688950
13223,Exurbs,688950
13227,Exurbs,688950
13231,Exurbs,688950
13247,Exurbs,688950
13297,Exurbs,688950
16001,Exurbs,688950
16027,Exurbs,688950
16045,Exurbs,688950
16055,Exurbs,688950
16075,Exurbs,688950
16083,Exurbs,688950
17007,Exurbs,688950
17063,Exurbs,688950
17089,Exurbs,688950
17093,Exurbs,688950
17097,Exurbs,688950
17111,Exurbs,688950
17197,Exurbs,688950
18057,Exurbs,688950
18059,Exurbs,688950
18063,Exurbs,688950
18081,Exurbs,688950
19049,Exurbs,688950
19153,Exurbs,688950
20091,Exurbs,688950
21005,Exurbs,688950
21015,Exurbs,688950
21029,Exurbs,688950
21081,Exurbs,688950
21113,Exurbs,688950
21179,Exurbs,688950
21185,Exurbs,688950
21209,Exurbs,688950
21211,Exurbs,688950
21215,Exurbs,688950
22005,Exurbs,688950
22023,Exurbs,688950
22063,Exurbs,688950
22075,Exurbs,688950
22103,Exurbs,688950
24003,Exurbs,688950
24011,Exurbs,688950
24013,Exurbs,688950
24015,Exurbs,688950
24021,Exurbs,688950
24025,Exurbs,688950
24035,Exurbs,688950
24041,Exurbs,688950
25023,Exurbs,688950
26037,Exurbs,688950
27003,Exurbs,688950
27019,Exurbs,688950
27025,Exurbs,688950
27037,Exurbs,688950
27059,Exurbs,688950
27095,Exurbs,688950
27109,Exurbs,688950
27139,Exurbs,688950
27141,Exurbs,688950
27163,Exurbs,688950
27171,Exurbs,688950
28033,Exurbs,688950
28045,Exurbs,688950
28073,Exurbs,688950
28121,Exurbs,688950
29027,Exurbs,688950
29037,Exurbs,688950
29043,Exurbs,688950
29047,Exurbs,688950
29049,Exurbs,688950
29099,Exurbs,688950
29113,Exurbs,688950
29165,Exurbs,688950
29183,Exurbs,688950
29219,Exurbs,688950
29225,Exurbs,688950
30043,Exurbs,688950
32001,Exurbs,688950
32005,Exurbs,688950
32019,Exurbs,688950
32029,Exurbs,688950
33011,Exurbs,688950
33013,Exurbs,688950
33015,Exurbs,688950
34005,Exurbs,688950
34015,Exurbs,688950
34019,Exurbs,688950
34033,Exurbs,688950
34037,Exurbs,688950
34041,Exurbs,688950
35043,Exurbs,688950
36091,Exurbs,688950
37025,Exurbs,688950
37029,Exurbs,688950
37037,Exurbs,688950
37053,Exurbs,688950
37097,Exurbs,688950
37101,Exurbs,688950
37109,Exurbs,688950
37179,Exurbs,688950
39041,Exurbs,688950
39159,Exurbs,688950
39165,Exurbs,688950
40017,Exurbs,688950
40083,Exurbs,688950
40131,Exurbs,688950
40145,Exurbs,688950
41005,Exurbs,688950
41071,Exurbs,688950
42017,Exurbs,688950
42029,Exurbs,688950
42089,Exurbs,688950
42103,Exurbs,688950
45063,Exurbs,688950
45091,Exurbs,688950
46033,Exurbs,688950
46083,Exurbs,688950
47009,Exurbs,688950
47021,Exurbs,688950
47043,Exurbs,688950
47047,Exurbs,688950
47147,Exurbs,688950
47149,Exurbs,688950
47165,Exurbs,688950
47167,Exurbs,688950
47187,Exurbs,688950
47189,Exurbs,688950
48021,Exurbs,688950
48039,Exurbs,688950
48071,Exurbs,688950
48085,Exurbs,688950
48091,Exurbs,688950
48121,Exurbs,688950
48139,Exurbs,688950
48157,Exurbs,688950
48167,Exurbs,688950
48187,Exurbs,688950
48209,Exurbs,688950
48251,Exurbs,688950
48257,Exurbs,688950
48259,Exurbs,688950
48339,Exurbs,688950
48367,Exurbs,688950
48397,Exurbs,688950
48491,Exurbs,688950
48493,Exurbs,688950
48497,Exurbs,688950
51007,Exurbs,688950
51033,Exurbs,688950
51041,Exurbs,688950
51043,Exurbs,688950
51047,Exurbs,688950
51061,Exurbs,688950
51065,Exurbs,688950
51069,Exurbs,688950
51075,Exurbs,688950
51079,Exurbs,688950
51085,Exurbs,688950
51093,Exurbs,688950
51095,Exurbs,688950
51101,Exurbs,688950
51109,Exurbs,688950
51127,Exurbs,688950
51137,Exurbs,688950
51145,Exurbs,688950
51153,Exurbs,688950
51157,Exurbs,688950
51161,Exurbs,688950
51187,Exurbs,688950
51735,Exurbs,688950
53005,Exurbs,688950
53057,Exurbs,688950
54003,Exurbs,688950
54037,Exurbs,688950
55089,Exurbs,688950
55109,Exurbs,688950
55127,Exurbs,688950
55133,Exurbs,688950
56019,Exurbs,688950
1003,Graying America,128348
2100,Graying America,128348
2105,Graying America,128348
2122,Graying America,128348
2170,Graying America,128348
2198,Graying America,128348
2230,Graying America,128348
4007,Graying America,128348
4011,Graying America,128348
4012,Graying America,128348
4015,Graying America,128348
4021,Graying America,128348
4025,Graying America,128348
5097,Graying America,128348
6003,Graying America,128348
6005,Graying America,128348
6009,Graying America,128348
6015,Graying America,128348
6027,Graying America,128348
6033,Graying America,128348
6035,Graying America,128348
6043,Graying America,128348
6045,Graying America,128348
6049,Graying America,128348
6051,Graying America,128348
6063,Graying America,128348
6091,Graying America,128348
6093,Graying America,128348
6103,Graying America,128348
6105,Graying America,128348
6109,Graying America,128348
8003,Graying America,128348
8007,Graying America,128348
8011,Graying America,128348
8015,Graying America,128348
8019,Graying America,128348
8025,Graying America,128348
8027,Graying America,128348
8029,Graying America,128348
8033,Graying America,128348
8037,Graying America,128348
8043,Graying America,128348
8047,Graying America,128348
8049,Graying America,128348
8053,Graying America,128348
8055,Graying America,128348
8057,Graying America,128348
8061,Graying America,128348
8065,Graying America,128348
8071,Graying America,128348
8073,Graying America,128348
8079,Graying America,128348
